host_group,collection_date,genome_id,genome_name,subtype,genome_length,decimal_date,year_int
Nonhuman Mammal,2005-05-19,1261853.5,Influenza A virus (A/swine/British Columbia/00633/2005(H3N2)),H3N2,1737,2005.3780821917808,2005
Human,2013-01-01,1652927.3,Influenza A virus (A/Wisconsin/V130755/2013(H3N2)),H3N2,1701,2013.0,2013
Human,2016-12-01,1936880.6,Influenza A virus (A/Florida/104/2016(H3N2)),H3N2,1737,2016.915300546448,2016
Human,2017-03-13,2049802.3,Influenza A virus (A/New York/A-WC-LVD-17-038/2017(H3N2)),H3N2,1737,2017.194520547945,2017
Human,2016-12-01,1980381.13,Influenza A virus (A/Linkou/0168/2016(H3N2)),H3N2,1751,2016.915300546448,2016
Human,2011-09-08,1204065.3,Influenza A virus (A/Singapore/GP1490/2011(H3N2)),H3N2,1755,2011.6849315068496,2011
Human,2014-03-11,1515829.7,Influenza A virus (A/Nebraska/04/2014(H3N2)),H3N2,1701,2014.1890410958904,2014
Avian,1994-05-22,1093338.3,Influenza A virus (A/ruddy turnstone/Delaware Bay/81/1994(H3N2)),H3N2,1734,1994.386301369863,1994
Human,2024-12-27,11320.830154,Influenza A virus A/Massachusetts/ISC-1342/2024,H3N2,1737,2024.986338797814,2024
Human,2006-01-11,1054731.3,Influenza A virus (A/Malaysia/33464/2006(H3N2)),H3N2,1731,2006.027397260274,2006
Human,2016-02-18,1865777.7,Influenza A virus (A/Colorado/15/2016(H3N2)),H3N2,1737,2016.1311475409836,2016
Human,2024-12-29,11320.973791,Influenza A virus A/Texas/USAFSAM-15510/2024,H3N2,1701,2024.9918032786888,2024
Human,2025-01-21,11320.983942,Influenza A virus A/South Carolina/USAFSAM-15225/2025,H3N2,1701,2025.054794520548,2025
Human,2015-03-31,2043752.3,Influenza A virus (A/Brisbane/71/2015(H3N2)),H3N2,1737,2015.2410958904109,2015
Human,2015-07-30,1731283.9,Influenza A virus (A/Iowa/22/2015(H3N2)),H3N2,1701,2015.5753424657537,2015
Human,2012-06-18,2044197.3,Influenza A virus (A/Victoria/535/2012(H3N2)),H3N2,1737,2012.46174863388,2012
Human,2016-04-24,1865968.6,Influenza A virus (A/Minnesota/59/2016(H3N2)),H3N2,1737,2016.311475409836,2016
Human,2016-12-27,1948991.8,Influenza A virus (A/Tennessee/37/2016(H3N2)),H3N2,1737,2016.986338797814,2016
Human,2012-07-07,2043769.3,Influenza A virus (A/Canberra/33/2012(H3N2)),H3N2,1737,2012.513661202186,2012
Human,2015-07-21,1731615.6,Influenza A virus (A/New York/57/2015(H3N2)),H3N2,1701,2015.5506849315068,2015
Human,2017-09-19,2051189.7,Influenza A virus (A/New Mexico/21/2017(H3N2)),H3N2,1737,2017.7150684931507,2017
Human,2015-08-03,1730955.9,Influenza A virus (A/Alaska/144/2015(H3N2)),H3N2,1701,2015.5863013698631,2015
Nonhuman Mammal,2014,1774883.6,Influenza A virus (A/swine/Italy/61352/2014(H3N2)),H3N2,1701,2014.0,2014
Human,2017-03-02,1984937.4,Influenza A virus (A/Nevada/08/2017(H3N2)),H3N2,1737,2017.164383561644,2017
Nonhuman Mammal,2021-09-08,11320.279953,Influenza A virus A/swine/Missouri/A02636129/2021,H3N2,1701,2021.6849315068496,2021
Human,2017-08-28,2043065.6,Influenza A virus (A/Alaska/54/2017(H3N2)),H3N2,1737,2017.654794520548,2017
Human,2017-04-17,2014217.6,Influenza A virus (A/Ohio/11/2017(H3N2)),H3N2,1737,2017.290410958904,2017
Nonhuman Mammal,2019-09-23,11320.246886,Influenza A virus A/swine/Illinois/A02478682/2019,H3N2,1701,2019.72602739726,2019
Human,2015-02-28,1915106.3,Influenza A virus (A/Palestine/38/2015(H3N2)),H3N2,1701,2015.158904109589,2015
Human,2016-02-17,1865981.6,Influenza A virus (A/Nebraska/10/2016(H3N2)),H3N2,1737,2016.1284153005463,2016
Human,2011-03-21,1162928.3,Influenza A virus (A/Quebec/034/2011(H3N2)),H3N2,1690,2011.2164383561644,2011
Human,2016-08-31,1910722.9,Influenza A virus (A/Texas/184/2016(H3N2)),H3N2,1737,2016.6612021857925,2016
Human,2017-09-29,2050421.3,Influenza A virus (A/California/NHRC_28270/2017(H3N2)),H3N2,1701,2017.7424657534248,2017
Human,2015-03-16,2044082.3,Influenza A virus (A/Townsville/8/2015(H3N2)),H3N2,1737,2015.2027397260272,2015
Human,2007-04-23,1054749.3,Influenza A virus (A/Malaysia/1769312/2007(H3N2)),H3N2,1731,2007.3068493150688,2007
Nonhuman Mammal,2014-10-10,1572217.3,Influenza A virus (A/swine/North Carolina/A01476688/2014(H3N2)),H3N2,1701,2014.772602739726,2014
Human,2025-01-04,11320.831387,Influenza A virus A/Massachusetts/ISC-1102/2025,H3N2,1737,2025.0082191780823,2025
Human,2014-12-27,1937328.4,Influenza A virus (A/Columbia/P0110/2014(H3N2)),H3N2,1751,2014.986301369863,2014
Human,2003-07-02,1004639.3,Influenza A virus (A/Australia/NHRC0004/2003(H3N2)),H3N2,1734,2003.4986301369863,2003
Human,2010-12-05,1599866.3,Influenza A virus (A/Townsville/93/2010(H3N2)),H3N2,1698,2010.92602739726,2010
Human,2012-01-24,1740065.3,Influenza A virus (A/Tokyo/17-337v/2012(H3N2)),H3N2,1762,2012.0628415300544,2012
Human,2025-03-03,11320.840992,Influenza A virus A/North Dakota/USAFSAM-15658/2025,H3N2,1701,2025.1671232876713,2025
Human,2018-10-03,11320.244331,Influenza A virus A/Victoria/1004/2018,H3N2,1737,2018.7534246575344,2018
Human,2017-01-04,2015116.3,Influenza A virus (A/North Carolina/5691/2017(H3N2)),H3N2,1701,2017.0082191780823,2017
Human,2017-02-21,1980820.5,Influenza A virus (A/New York/12/2017(H3N2)),H3N2,1737,2017.1397260273973,2017
Human,2015-02-03,1783380.3,Influenza A virus (A/Thailand/CU-B11566/2015(H3N2)),H3N2,1701,2015.090410958904,2015
Human,2014-11-19,1731308.6,Influenza A virus (A/Kansas/10/2014(H3N2)),H3N2,1701,2014.8821917808216,2014
Nonhuman Mammal,2014-07-24,1851751.8,Influenza A virus (A/swine/Ontario/G16/2014(H3N2)),H3N2,1701,2014.558904109589,2014
Human,2016-04-28,1910250.5,Influenza A virus (A/Vermont/21/2016(H3N2)),H3N2,1737,2016.3224043715848,2016
Human,2015-07-25,1823790.6,Influenza A virus (A/Alaska/133/2015(H3N2)),H3N2,1737,2015.5616438356165,2015
Human,2014-12-17,1716848.3,Influenza A virus (A/Nebraska/4435/2014(H3N2)),H3N2,1701,2014.958904109589,2014
Human,2011-09-29,1204075.3,Influenza A virus (A/Singapore/GP1541/2011(H3N2)),H3N2,1723,2011.7424657534248,2011
Human,2021-10-20,11320.275917,Influenza A virus A/Florida/02/2021,H3N2,1737,2021.8,2021
Human,2017-01-23,1964711.3,Influenza A virus (A/New Mexico/05/2017(H3N2)),H3N2,1737,2017.0602739726028,2017
Human,2010-02-08,1599936.3,Influenza A virus (A/Vietnam/167/2010(H3N2)),H3N2,1698,2010.1041095890412,2010
Human,2025-01-05,11320.969452,Influenza A virus A/Nevada/06/2025,H3N2,1737,2025.0109589041097,2025
Human,2014-03-11,1553944.8,Influenza A virus (A/Hawaii/08/2014(H3N2)),H3N2,1701,2014.1890410958904,2014
Human,2010-09,2036309.3,Influenza A virus (A/Hong Kong/CUHK41034/2010(H3N2)),H3N2,1689,2010.704109589041,2010
Human,2017-07-24,2035472.6,Influenza A virus (A/Alaska/42/2017(H3N2)),H3N2,1737,2017.558904109589,2017
Human,2024-10-16,11320.977679,Influenza A virus A/Washington/WA-UW-75968/2024,H3N2,1701,2024.7896174863388,2024
Human,2014-12-10,1731931.6,Influenza A virus (A/Washington/42/2014(H3N2)),H3N2,1701,2014.9397260273972,2014
Human,2017-01-23,2037420.3,Influenza A virus (A/South Carolina/5851/2017(H3N2)),H3N2,1701,2017.0602739726028,2017
Human,2024-12-02,11320.980668,Influenza A virus A/New York/209/2024,H3N2,1737,2024.9180327868853,2024
Human,2019-08-12,11320.247485,Influenza A virus A/Florida/91/2019,H3N2,1737,2019.6109589041096,2019
Human,2016-08-05,2043789.5,Influenza A virus (A/Newcastle/102/2016(H3N2)),H3N2,1737,2016.5928961748632,2016
Human,2013-02-01,1652874.3,Influenza A virus (A/Wisconsin/U131221/2013(H3N2)),H3N2,1701,2013.0849315068492,2013
Human,2017-01-17,1962003.4,Influenza A virus (A/Nevada/05/2017(H3N2)),H3N2,1737,2017.0438356164384,2017
Human,2017-01-05,2037140.3,Influenza A virus (A/California/5756/2017(H3N2)),H3N2,1701,2017.0109589041097,2017
Human,1992-01-09,1086882.4,Influenza A virus (A/Enschede/1285/1992(H3N2)),H3N2,1732,1992.0218579234972,1992
Human,2016-04-13,1910159.6,Influenza A virus (A/Rhode Island/20/2016(H3N2)),H3N2,1737,2016.2814207650272,2016
Human,2013,1714765.6,Influenza A virus (A/Washington/61/2013(H3N2)),H3N2,1701,2013.0,2013
Human,2015-09-09,1788788.8,Influenza A virus (A/South Dakota/38/2015(H3N2)),H3N2,1701,2015.6876712328767,2015
Nonhuman Mammal,2017-10-10,2068684.3,Influenza A virus (A/swine/Iowa/A02223222/2017(H3N2)),H3N2,1701,2017.772602739726,2017
Human,2012-02-02,1170376.3,Influenza A virus (A/Novosibirsk/RII08/2012(H3N2)),H3N2,1755,2012.0874316939892,2012
Human,2016-12-20,2015122.3,Influenza A virus (A/Oklahoma/5695/2016(H3N2)),H3N2,1701,2016.967213114754,2016
Human,2012-11-24,1292979.3,Influenza A virus (A/Texas/JMM_16/2012(H3N2)),H3N2,1737,2012.896174863388,2012
Human,2015-10-10,1788721.15,Influenza A virus (A/Michigan/67/2015(H3N2)),H3N2,1701,2015.772602739726,2015
Human,2015-04-21,1731986.4,Influenza A virus (A/Wisconsin/66/2015(H3N2)),H3N2,1701,2015.3013698630136,2015
Human,2018-01-12,11320.99678,Influenza A virus A/Ohio/04/2018,H3N2,1737,2018.0301369863016,2018
Human,2013-10-24,2043967.4,Influenza A virus (A/Sydney/1014/2013(H3N2)),H3N2,1737,2013.8109589041096,2013
Human,2014-12-23,1605074.3,Influenza A virus (A/Ontario/66/2014(H3N2)),H3N2,1712,2014.975342465753,2014
Human,2024-12-21,11320.973562,Influenza A virus A/California/LACPHL-INF01597/2024,H3N2,1701,2024.9699453551912,2024
Human,2017-03-23,1984957.7,Influenza A virus (A/South Carolina/11/2017(H3N2)),H3N2,1737,2017.2219178082191,2017
Human,2021-10-27,11320.276313,Influenza A virus A/Michigan/13/2021,H3N2,1737,2021.8191780821917,2021
Avian,2013-08-15,1525366.5,Influenza A virus (A/chicken/Shanghai/LPM2/2013(H3N2)),H3N2,1701,2013.619178082192,2013
Human,2008-11-03,1599803.3,Influenza A virus (A/Thailand/947/2008(H3N2)),H3N2,1698,2008.8387978142075,2008
Human,2005-06-03,1101412.7,Influenza A virus (A/Hong Kong/HKU108/2005(H3N2)),H3N2,1698,2005.419178082192,2005
Human,2013-07-02,1589879.6,Influenza A virus (A/Nicaragua/5892_01_TR1/2013(H3N2)),H3N2,1737,2013.4986301369863,2013
Human,2007-10-03,1052424.4,Influenza A virus (A/HoaBinh/HB378/2007(H3N2)),H3N2,1731,2007.7534246575344,2007
Human,2017-02-21,2037425.3,Influenza A virus (A/South Carolina/6065/2017(H3N2)),H3N2,1701,2017.1397260273973,2017
Human,2015-01-21,1731804.12,Influenza A virus (A/Texas/28/2015(H3N2)),H3N2,1701,2015.054794520548,2015
Nonhuman Mammal,2012-06-25,1231097.5,Influenza A virus (A/swine/Minnesota/A01300160/2012(H3N2)),H3N2,1701,2012.48087431694,2012
Human,2015-01-29,1731359.14,Influenza A virus (A/Maine/24/2015(H3N2)),H3N2,1701,2015.0767123287671,2015
Human,2017-05-24,2022191.13,Influenza A virus (A/Michigan/263/2017(H3N2)),H3N2,1737,2017.3917808219176,2017
Human,2009-07-17,1038247.3,Influenza A virus (A/Hong Kong/H090-703-V10/2009(H3N2)),H3N2,1738,2009.5397260273976,2009
Human,2014-12-16,1604941.3,Influenza A virus (A/Alberta/119/2014(H3N2)),H3N2,1681,2014.9561643835616,2014
Human,2008-11-21,1052483.3,Influenza A virus (A/DaNang/DN446/2008(H3N2)),H3N2,1732,2008.8879781420765,2008
Human,2024-11-23,11320.981649,Influenza A virus A/Michigan/143/2024,H3N2,1737,2024.8934426229507,2024
Human,2024-04-01,11320.838365,Influenza A virus A/Massachusetts/ISC-1085/2024,H3N2,1737,2024.2486338797817,2024
Human,2015-10-06,1788794.6,Influenza A virus (A/Texas/69/2015(H3N2)),H3N2,1701,2015.7616438356165,2015
Human,2014-12-22,1717039.3,Influenza A virus (A/Utah/4351/2014(H3N2)),H3N2,1701,2014.972602739726,2014
Nonhuman Mammal,2016-08-06,1955725.5,Influenza A virus (A/swine/Michigan/16TOSU5222/2016(H3N2)),H3N2,1701,2016.5956284153008,2016
Human,2017-02-01,1984878.8,Influenza A virus (A/California/50/2017(H3N2)),H3N2,1737,2017.0849315068492,2017
Nonhuman Mammal,2002,1261416.3,Influenza A virus (A/swine/Ehime/2/2002(H3N2)),H3N2,1701,2002.0,2002
Human,2012-11-12,1293005.3,Influenza A virus (A/Texas/JMM_4/2012(H3N2)),H3N2,1737,2012.863387978142,2012
Human,2014-09-09,1623192.3,Influenza A virus (A/Bangkok/SI-MI10/2014(H3N2)),H3N2,1701,2014.6876712328767,2014
Human,2016-10-23,1932492.12,Influenza A virus (A/Michigan/108/2016(H3N2)),H3N2,1737,2016.808743169399,2016
Human,2024-12-25,11320.971577,Influenza A virus A/Colorado/250/2024,H3N2,1737,2024.98087431694,2024
Human,2017-01-24,2037452.3,Influenza A virus (A/Texas/5856/2017(H3N2)),H3N2,1701,2017.06301369863,2017
Human,2025-01-06,11320.971334,Influenza A virus A/Delaware/04/2025,H3N2,1737,2025.013698630137,2025
Human,2016-03-31,1909939.8,Influenza A virus (A/Hawaii/46/2016(H3N2)),H3N2,1737,2016.2431693989072,2016
Human,2010-04-22,1132933.3,Influenza A virus (A/Kenya/095/2010(H3N2)),H3N2,1762,2010.304109589041,2010
Human,2015-01-29,1731534.15,Influenza A virus (A/New Hampshire/06/2015(H3N2)),H3N2,1701,2015.0767123287671,2015
Nonhuman Mammal,2015-08-26,2032870.3,Influenza A virus (A/swine/Alberta/SD0115/2015(H3N2)),H3N2,1737,2015.6493150684933,2015
Human,2017-03-28,1984939.4,Influenza A virus (A/New Hampshire/17/2017(H3N2)),H3N2,1737,2017.235616438356,2017
Nonhuman Mammal,2016-08-30,2030835.3,Influenza A virus (A/swine/Alberta/SD0181/2016(H3N2)),H3N2,1737,2016.6612021857925,2016
Human,2011-09-08,1204066.3,Influenza A virus (A/Singapore/TT584/2011(H3N2)),H3N2,1753,2011.6849315068496,2011
Human,1998,224820.3,Influenza A virus (A/Nagasaki/93/98(H3N2)),H3N2,1762,1998.0,1998
Human,2017-01-23,1960430.6,Influenza A virus (A/Maine/07/2017(H3N2)),H3N2,1737,2017.0602739726028,2017
Human,2016-09-13,2043878.3,Influenza A virus (A/South Australia/117/2016(H3N2)),H3N2,1737,2016.6994535519125,2016
Human,1977,1086842.4,Influenza A virus (A/Amsterdam/1609/1977(H3N2)),H3N2,1734,1977.0,1977
Human,1980-12-01,1086943.4,Influenza A virus (A/Netherlands/209/1980(H3N2)),H3N2,1732,1980.915300546448,1980
Human,2015-02-20,1769616.3,Influenza A virus (A/Corsica/4069-09/2015(H3N2)),H3N2,1701,2015.13698630137,2015
Human,2017-12-27,11320.97567,Influenza A virus A/California/163/2017,H3N2,1737,2017.986301369863,2017
Human,2017-10-23,2072062.14,Influenza A virus (A/Florida/84/2017(H3N2)),H3N2,1737,2017.8082191780825,2017
Human,2014-11-02,1571520.4,Influenza A virus (A/Gainesville/05/2014(H3N2)),H3N2,1701,2014.835616438356,2014
Human,2006-04-04,1004622.3,Influenza A virus (A/Texas/NHRC0002/2006(H3N2)),H3N2,1731,2006.254794520548,2006
Nonhuman Mammal,2015-11-03,1766175.5,Influenza A virus (A/swine/Indiana/A01812045/2015(H3N2)),H3N2,1701,2015.8383561643836,2015
Human,2017-02-14,2037159.3,Influenza A virus (A/Connecticut/5971/2017(H3N2)),H3N2,1701,2017.1205479452055,2017
Human,2016-11-25,1932796.7,Influenza A virus (A/California/168/2016(H3N2)),H3N2,1737,2016.8989071038252,2016
Human,2011-11-15,1590896.6,Influenza A virus (A/Thailand/CU-B5928/2011(H3N2)),H3N2,1701,2011.8712328767124,2011
Nonhuman Mammal,2012-02-02,1512156.6,Influenza A virus (A/swine/Hong Kong/NS392/2012(H3N2)),H3N2,1701,2012.0874316939892,2012
Human,2015-01-01,1717077.3,Influenza A virus (A/Washington/4495/2015(H3N2)),H3N2,1701,2015.0,2015
Nonhuman Mammal,2021-09-01,11320.279116,Influenza A virus A/swine/Minnesota/A02636090/2021,H3N2,1701,2021.6657534246576,2021
Human,2017-04-17,2019629.5,Influenza A virus (A/Tennessee/40/2017(H3N2)),H3N2,1737,2017.290410958904,2017
Human,2015-08-14,1923952.3,Influenza A virus (A/Xiamen/s76/2015(H3N2)),H3N2,1701,2015.6164383561645,2015
Human,2012-03-16,1283189.4,Influenza A virus (A/Voroneg/RII03/2012(H3N2)),H3N2,1733,2012.204918032787,2012
Nonhuman Mammal,2015,1774871.5,Influenza A virus (A/swine/Italy/248147-8/2015(H3N2)),H3N2,1701,2015.0,2015
Nonhuman Mammal,2015-07-30,1707324.11,Influenza A virus (A/swine/Nebraska/A02034991/2015(H3N2)),H3N2,1701,2015.5753424657537,2015
Human,2025-01-20,11320.990449,Influenza A virus A/Michigan/UM-HS23020/2025,H3N2,1701,2025.0520547945205,2025
Human,1991-12-01,1087005.5,Influenza A virus (A/Paris/597/1991(H3N2)),H3N2,1731,1991.9150684931508,1991
Human,2011-03-10,1652968.11,Influenza A virus (A/Rochester/0047/2011(H3N2)),H3N2,1701,2011.186301369863,2011
Human,2016-12-06,1932839.7,Influenza A virus (A/Tennessee/33/2016(H3N2)),H3N2,1737,2016.9289617486336,2016
Human,2016-12-19,2014476.3,Influenza A virus (A/New York/5647/2016(H3N2)),H3N2,1701,2016.964480874317,2016
Human,1997-07-24,1054688.3,Influenza A virus (A/Malaysia/13241/1997(H3N2)),H3N2,1735,1997.558904109589,1997
Human,2016-12-05,1954771.3,Influenza A virus (A/Alberta/179/2016(H3N2)),H3N2,1701,2016.926229508197,2016
Human,2009-07-27,1056553.3,Influenza A virus (A/Hong Kong/H090-739-V2(3)/2009(H3N2)) A/Hong Kong/H090-739-V2(3)/2009,H3N2,1701,2009.5671232876712,2009
Human,2015-07-30,1731295.4,Influenza A virus (A/Iowa/30/2015(H3N2)),H3N2,1701,2015.5753424657537,2015
Avian,2020-04-03,11320.278242,Influenza A virus A/duck/Vietnam/HN6211/2020,H3N2,1765,2020.2540983606557,2020
Human,1992-07-17,1087043.4,Influenza A virus (A/Victoria/68/1992(H3N2)),H3N2,1731,1992.5409836065571,1992
Human,2017-03-07,2024480.3,Influenza A virus (A/Shandong-Fushan/1157/2017(H3N2)),H3N2,1701,2017.1780821917807,2017
Human,2024-12-30,11320.979042,Influenza A virus A/Massachusetts/MA-Broad_MGH-23001/2024,H3N2,1718,2024.9945355191255,2024
Human,2011-09,2036261.3,Influenza A virus (A/Hong Kong/CUHK27868/2011(H3N2)),H3N2,1689,2011.704109589041,2011
Human,2025-01-29,11320.983427,Influenza A virus A/Georgia/USAFSAM-15296/2025,H3N2,1701,2025.0767123287671,2025
Nonhuman Mammal,2017-05-17,2025782.6,Influenza A virus (A/swine/Korea/P17-4/2017(H3N2)),H3N2,1701,2017.372602739726,2017
Human,2017-03-06,2037416.3,Influenza A virus (A/Oklahoma/6153/2017(H3N2)),H3N2,1701,2017.1753424657536,2017
Human,2014-10-05,2024514.3,Influenza A virus (A/Shandong-Zhifu/1499/2014(H3N2)),H3N2,1701,2014.7589041095891,2014
Nonhuman Mammal,2010-04-18,1585848.3,Influenza A virus (A/swine/Kansas/10-83533/2010(H3N2)),H3N2,1701,2010.2931506849316,2010
Nonhuman Mammal,2011-08-01,1654257.4,Influenza A virus (A/swine/Netherlands/Geesteren-346/2011(H3N2)),H3N2,1701,2011.580821917808,2011
Human,2007-11-06,1086957.3,Influenza A virus (A/Netherlands/348/2007(H3N2)),H3N2,1736,2007.8465753424657,2007
Human,2024-12-31,11320.977716,Influenza A virus A/Washington/WA-UW-48352/2024,H3N2,1749,2024.9945355191255,2024
Human,2016-11-04,1954746.3,Influenza A virus (A/Alberta/149/2016(H3N2)),H3N2,1701,2016.8415300546449,2016
Human,2017-02-13,1973758.11,Influenza A virus (A/Delaware/13/2017(H3N2)),H3N2,1737,2017.1178082191784,2017
Human,1999-11-20,1054683.3,Influenza A virus (A/Malaysia/13094/1999(H3N2)),H3N2,1734,1999.8849315068496,1999
Human,2022-06-05,11320.984868,Influenza A virus A/Nicaragua/11491.13AR1/2022,H3N2,1737,2022.4246575342463,2022
Human,2024-03-19,11320.838388,Influenza A virus A/Massachusetts/ISC-1077/2024,H3N2,1737,2024.2131147540983,2024
Human,2015-01-29,1731757.11,Influenza A virus (A/South Dakota/25/2015(H3N2)),H3N2,1701,2015.0767123287671,2015
Human,2025-01-28,11320.983412,Influenza A virus A/Oklahoma/USAFSAM-15326/2025,H3N2,1701,2025.07397260274,2025
Human,2016-12-27,2037527.3,Influenza A virus (A/Washington/5862/2016(H3N2)),H3N2,1701,2016.986338797814,2016
Human,2011-04-15,1598811.3,Influenza A virus (A/Heilongjiang Qitaihe Taoshan/147/2011(H3N2)),H3N2,1698,2011.2849315068493,2011
Human,2025-01-03,11320.979004,Influenza A virus A/Massachusetts/MA-Broad_MGH-23025/2025,H3N2,1718,2025.0054794520547,2025
Nonhuman Mammal,2012-06-30,1217769.3,Influenza A virus (A/swine/Iowa/A01203612/2012(H3N2)),H3N2,1701,2012.4945355191255,2012
Human,2025-01-19,11320.830518,Influenza A virus A/Massachusetts/ISC-1281/2025,H3N2,1737,2025.0493150684931,2025
Nonhuman Mammal,2013-05-09,1761599.3,Influenza A virus (A/swine/Manitoba/D0228/2013(H3N2)),H3N2,1701,2013.3506849315067,2013
Human,2012-02-20,1250380.3,Influenza A virus (A/Novosibirsk/22/2012(H3N2)),H3N2,1701,2012.136612021858,2012
Human,2017-02-08,1972365.14,Influenza A virus (A/Pennsylvania/06/2017(H3N2)),H3N2,1737,2017.1041095890412,2017
Human,2017-02-03,1964686.9,Influenza A virus (A/Kansas/03/2017(H3N2)),H3N2,1737,2017.090410958904,2017
Human,2016-01-20,1865684.3,Influenza A virus (A/Arizona/25/2016(H3N2)),H3N2,1737,2016.051912568306,2016
Human,2011-01-19,1004694.4,Influenza A virus (A/Illinois/NHRC0002/2011(H3N2)),H3N2,1732,2011.0493150684931,2011
Human,2016-11-17,1932831.6,Influenza A virus (A/New Jersey/26/2016(H3N2)),H3N2,1737,2016.877049180328,2016
Human,2017-03-07,1984983.13,Influenza A virus (A/Wisconsin/28/2017(H3N2)),H3N2,1737,2017.1780821917807,2017
